VR_LANCAMENTO,Valores_aleatorios
1.2,2204235
15.5,3638344
75,1759476
66.31,2978865
52,1781107
200,3889331
150,1642093
251.59,3159301
301.15,2365513
2.6,3732328
6.5,1893300
2.6,1990122
682.5,4144075
7.75,3293029
260.81,2427524
2900.44,657653
52,4331840
1.2,518886
1.2,690581
10.45,2912200
1000,1657312
1.2,588515
10198.32,743333
5,4134313
106.89,1799794
333.5,3674298
4000,2738510
6.6,1623134
3.21,1237536
1004.6,2950999
10.45,1847291
10.45,4202295
1.2,626353
3600,670588
10.45,2487922
499.57,4281606
1120,3483035
1.2,2875424
280,3992505
2450,1976429
3622,3304004
1.15,1349110
175,2401579
29.1,2683615
4.8,4041452
1500,1845773
31.77,3806243
51.46,1065044
450,3632689
3000,3818461
3.1,2961015
19.69,4521019
400,379112
2462.39,2577165
2190.99,3154981
400,2041410
19.69,4739625
1.5,1221059
69,4164480
329.41,2057902
86.7,3092788
406.04,3524110
107.37,1080781
191.57,2077008
99,3613747
120,1116041
4500,1340070
400,4052898
200,3012906
2263.61,2173636
448,1481012
50,4307444
19.69,416451
203.73,1642731
37.5,2548031
10,669119
2.6,4152952
1.2,4884645
846.93,4617380
37.5,641476
600,4987526
3000,448175
10000,3088307
10000,2387538
1165.62,4814194
3312.4,815087
201.59,4466204
18.43,1455405
3900,1001280
46.99,62192
48.98,2388243
10,1332352
100,3600499
2.6,4030679
10.45,2208195
1213.61,998012
898.6,3906318
1.2,198054
1800,3160900
1.2,3835857
40.44,2759372
5,635320
300,3308545
180,3193178
1944.65,79710
74.45,657853
1.2,2553557
500,2955826
47.92,3864306
37.5,1863075
42,2818817
543.43,4011229
54.95,3554573
6,3808723
333.69,4734010
20.8,4451662
1000,3066308
1.2,4343159
10.45,3556129
1500,2461041
150,583083
19.69,3886967
243.49,2742317
1089.26,3235515
536.43,2927540
217.53,996122
22.83,4322811
1797.4,2956423
571.01,2967099
60,4095202
27.48,206757
10,3360344
1118.6,4082805
0.01,3533628
4,3315732
180,555146
21,832726
200,4063875
100,673985
0.1,3076826
26.7,1084498
69,4543937
2967.25,1700697
500,1304365
27.13,380050
0.39,2157846
200,43851
3001,1010978
0.35,77114
55,4286553
2.2,4863451
11399.08,1904268
15000,4149789
10.45,4036272
1.2,3702705
4150,1597590
1.2,4947084
767.89,1606679
1.2,4520830
1.2,4024824
49,4550850
250,64949
195,426823
4.8,184430
150,4134586
200,3831087
730,3889991
200,3430233
1790.1,3951991
404.89,1694225
458,2713565
2000,4655431
6.5,3490118
250,2887221
314.41,4730503
4.8,3626856
1.8,2004670
380,3565906
23.95,2767807
14.3,637917
533.2,1990105
1.2,4316914
1534.55,3827721
1025,4956389
371.85,3116216
37.5,3561178
21,409508
252.04,3120996
8,2472793
3213.33,2544993
140,1640979
1000,3275606
4890.65,954678
1.2,969433
3000,792945
55145,4684820
58.7,773575
10.45,3478930
17100,2297821
55,757516
39.87,3331561
1237.19,2518799
7,1610832
690,1979883
600,1536352
150,2717909
18.04,4216436
24.61,4145208
1000,3171312
1000,4651388
1.2,4006989
10.45,1422166
10285,4579330
23000,1136310
1299,2135648
10.45,3263573
1.2,4002195
2180.2,2193465
10.45,1391414
1898.6,1654054
10.45,68087
1100,2657485
322.35,670433
10.45,2091984
5580.26,1293611
1004.8,3968184
22.83,1055844
50,3734360
7.61,3926999
70.39,450206
4.8,1777649
17644.44,3767017
107.02,2188294
5000,680535
60,2368314
2.31,1635037
594.27,646698
2094.27,2299481
69.33,4104483
10.82,3691385
265,460322
22.25,4572710
1000,1590460
500,1527988
42,3529792
1000,597778
1938,792128
2534.88,2742506
4800,3489229
1.2,1601711
30,243249
8.5,4852454
420,201785
10.62,4154425
10,3470242
300,4802832
1000,2841840
1000,4182732
2158,4379138
250,4375007
69,3216661
1268.33,1958752
60,3738842
3000,4174322
1.5,10551
300,3172023
5389.85,4654957
140,4866204
0.1,4257143
52,56211
295.32,995999
1921.18,1398266
10.45,1436777
594.27,940532
10.45,2131159
30958.41,516248
10.45,4112110
84,883252
84,2661351
490.9,2593524
1948,1084679
878.22,38484
0.47,1316822
180,4422494
40,1132472
200,3391649
4.8,1296144
51949.4,3349486
1.2,2356301
1898.6,138475
1.2,2719900
1.2,2022195
47000,3896963
10.45,1814042
1198.61,1987104
1306.84,1841933
3500,3229796
10000,1980173
1479.66,1502824
153.41,1560485
73.72,773360
708,2839899
52,3481157
40,4745677
50,398489
52,4068563
203.93,4358532
2.6,4584000
1500,371023
990,3618604
35,4357057
473,1484519
166.76,4914013
300,32067
54.95,4801575
689.65,520179
1.2,713415
50,451340
3.1,3814326
1.2,2650088
553.2,2058056
19.25,3602425
432.45,1831954
1.2,1458994
4000,2061008
6500,457737
38471.55,4632600
18000,182777
2492,1197084
1120,784942
471.32,1957866
55145,2442036
2000,3606345
516.47,559331
65.33,2775411
10.45,2100924
7853.6,3536617
58.07,1678643
819.24,878990
3000,1618196
1010,2517048
1094.27,1397307
10.45,1710361
50.09,4259358
10.45,642774
10.45,3826594
2347,4553821
3000,4371172
1000,1719386
7530,2839872
5.2,465864
1.2,2747289
1.2,1839386
280,1224058
50,4519331
350.02,977811
4.8,1651397
20.37,2549911
2898.6,622360
1.2,4583186
2534.88,2310663
6000,1628430
10.45,4468376
1.2,4255220
1500,4827927
1.1,3179628
56.95,2410760
250,4919940
19.25,1921862
19.2,1234188
30,2619605
1500,3451902
52,3798814
480,4708578
95.75,723952
80.08,3590824
52,11067
1.2,2941172
892.48,1726263
1001,2239667
1000,1390641
60,855966
16.95,2914427
37.5,4964865
102.11,4425447
530,2194430
75,415767
50,267318
32096.38,516956
1300,3747827
57,49407
10.45,1472770
847.59,4971022
1.2,3904873
2.6,1054093
19.25,699725
777.13,2697550
1010,2042010
1281.78,560166
10.45,1278930
10.45,1472522
265.36,968390
10.45,4601271
0.35,133184
1000,1238285
1850,3548447
37.5,694464
139.85,2442378
110,3665759
84,2715697
12.05,2403318
6.71,1418318
180,1020161
782.83,2642206
1.2,1096190
3.6,2526277
12,4455393
100,1121433
4.8,3599411
350,4106076
50,4867793
22.98,2534012
1010,2653066
10.45,2144794
2387,2832677
10.45,4326264
3500,3123670
159.8,492675
750,4905572
280,3197851
4013.42,295978
4800,658911
176.92,3752199
1494,1537030
39.38,357918
1.2,1275582
1000,3558782
120,2785653
150,3313246
30,4563218
45,2781428
41.24,2109623
46.68,3206290
2792,3249217
200,1857807
30.9,448155
100,2835537
118,2850669
1.2,1399377
8000,1975369
8600,4238440
4127.79,3193588
3666.67,3051897
1650,3605635
10.45,3014435
10.45,1651730
6.4,4975543
100,290238
383.16,1978508
3,2788494
1000,3547170
3230,4066285
13,1737387
1000,2914336
14,1723275
0.85,3678471
752.53,833370
610,269148
1440,4988100
2000,2352197
360,4027247
0.08,2546708
140,3749844
21.14,1156732
4.8,1793042
0.02,1751232
52.35,3997419
10.45,3201805
2.6,3761924
500,290090
19.25,4129127
629.1,84384
10.45,2279802
49,849539
726.73,2835660
60,3365438
800,4534062
750,1088918
200,4909339
35,3301079
19.69,2220163
46956,4064129
420.3,1102138
52,225045
60,1204120
52,4904519
2.6,2270308
1.19,1400453
14,1216327
30.02,267018
300,897211
1200,539143
584.26,1344723
41152,427147
20000,294194
1117,1725765
10.45,2414136
350,2126123
10.45,1351338
2.6,1263409
645.99,2237900
6000,4930862
1.2,2975846
10.45,1326266
10.45,4675749
350,1451146
50,3847624
19.69,4205880
4000,4442846
900,4770112
200,1603674
190.51,1878028
3.1,1690047
54.95,3783882
19.69,3397156
6.9,2775154
204.64,157335
1.2,3813834
1100,2138584
32.85,140945
1.2,117472
59.07,2346079
184.99,3716515
17558.19,2450237
1660.32,4071863
1.2,1430597
34305.61,341594
2555.34,938294
2.6,729442
69.7,1340665
870,522740
1.2,1947360
56,1292765
1000,3423183
400,3315956
50,4499806
240,2946159
140,1587701
4740,3226646
366.56,4444685
120,4732511
20,1114137
58.7,1169439
1333.37,3127250
1.15,258091
8.05,3480128
20,4683414
2.6,1582349
1.2,3518937
120,3747633
52,919578
10.45,3577638
6356.37,3998233
271.22,2664085
594.27,4877562
594.27,3925380
1200,659699
880,3544478
508,4983881
1.2,3638652
420,2358840
59.07,2440831
14,2982123
1100,517331
7000,877682
550,4305420
10,4091568
7,1411526
30.22,795187
7000,1229187
150,2866405
1.2,4448368
19.69,2611822
400,1161969
4.8,3500978
15,2113005
10,924152
8,3101309
3,1245322
1.2,4642816
2534.88,351569
30.58,712998
35,1197415
300,2478559
4000,3773109
500,3709263
22.25,4126580
10.45,1759306
125.92,3086849
81.31,300488
21,4682061
48.92,1622252
10.45,4161275
450,1797264
4000,1815724
1255,4836467
1000,2675781
1.2,1177443
125017.08,4824487
10.45,3432224
10.45,429659
1.2,4768401
19.25,1417831
10.45,64076
1.2,3968780
1294.27,3988955
746.14,4724248
12284.4,2721993
416.71,3435851
338.12,3653439
350,2136123
928.16,3022847
293.76,892050
150.25,2506237
0.02,2879087
54.95,4777030
1.2,3830429
154.24,2958764
30978.52,476964
30000,2977682
156.9,1249851
19.69,661938
50,2194083
120,2909198
10,2205113
100,3217471
2.6,4752114
200,814480
300,319604
37.5,2724733
10.19,1619552
2.6,1194881
120,3435563
23.2,4816803
10,1179820
1000,165808
1120,1782475
9.6,3896743
66.46,3157958
25,2727480
1.2,926941
1898.6,57727
3444.64,2818827
3000,3578275
307.33,1244172
856.43,3816565
60,3707750
2.6,3354065
150,3975313
10,4436944
4000,1500936
227.75,1507031
1000,3532371
3.79,1024154
76000,4694692
1000,1985260
10.45,1287965
6500,1047230
71.64,1807297
1.2,1395038
2387,3598482
1.2,439376
10.45,820491
29.23,379459
120,2884075
150,2947053
15.22,619965
2348.68,2852431
682.5,4058506
102,2155398
666.66,4694113
19.69,2385205
3.1,1573132
72,4620943
2337,4616835
317.49,3348034
6399.42,444815
4.8,2529918
30.05,71829
2534.88,999046
1,1306067
1592.5,1410113
500,4343394
46.75,2267159
341.06,4014575
50,1695652
800,845172
68.79,1759047
8.5,756420
40.26,3177137
100,3561357
2000,1828400
1237.19,2802588
2000,989292
140,1370607
250,2879792
1016.17,4868739
2666,116886
1.2,3516339
15.66,4055130
261.33,1924160
12.8,57449
42,3343410
0.35,3547924
4100,762855
19.25,4074249
189,678341
24000,2653496
1.2,4097655
1.2,1406523
378,2902429
100,798120
500,2130998
60,2354685
100,1146854
220,3728004
1168.16,1077301
1.2,298678
1000,433964
20638.94,2010873
1.2,4238928
6898.6,795334
45000,910627
10.45,1573313
3580,3804744
400,637227
2000,4850909
10.45,630390
1800,4554343
10.45,3267720
10.45,3444989
70,665108
10.45,1685025
1811,9640
2000,4329594
1000,2986835
4992.1,721421
69,4981268
10.45,4757200
7,1709681
10,1066720
42,599333
52,1760251
752.53,2855420
4.8,2066019
84,1345466
2.4,3729679
385,2214093
0.01,3275121
3200,599694
217.1,2765549
150,4327712
1094.27,2559319
24766.72,3913392
594.27,3935587
15000,237059
1.2,3315355
890,249573
200,4877230
699.97,119489
37500,3092718
1.2,4960977
28.58,909848
890.25,4234882
665.96,3476126
100000,2247862
1.2,954488
1.2,1938447
1573.08,2284190
30.52,4325381
2708.69,4757824
4800,4964479
1898.6,2484195
594.27,4662462
9.75,2520296
79.03,2350755
42,3648028
1.2,1498709
2.6,777154
200,2505310
1200,1727747
1.2,2121237
1.2,1656128
24300,2460731
545.05,2760706
4.8,4468869
37.5,1251365
743.12,275283
1.2,3667766
37.5,2500550
500,1898905
400,3929409
3.1,18281
84,2842550
20,970903
232.37,703781
3545.29,500444
62.98,4994460
19.69,1755893
1.2,3795701
157.42,396085
73.86,244398
3900,3775788
2.6,3457513
40,2834885
1592.5,1348188
80.45,3941229
32.58,980553
1561.33,1110922
1.2,854379
1100,3732511
60,2357124
35.79,873229
35,1694266
72,705918
225,491082
30,4580044
10,1535118
58.7,2809338
3.05,71691
969.11,50126
2000,2371339
1.2,2105448
1188,2220650
1000,1054134
327,2946340
2.15,365606
0.29,410819
150,153520
1.2,718131
14.87,3907143
2.6,3579748
60,4688634
448.13,292384
1000,3172217
37.23,4422293
1.2,1171817
10.45,2360397
656759.97,3990299
10.45,286930
10750,1072440
9668.6,1330834
0.35,1121403
26311.78,2223193
1.2,2032141
299.97,1532606
12000,1103980
0.01,1322776
19.69,4404982
1276,1396583
152.6,3085504
7,3813743
19.25,1963885
1001,1890200
4352.25,3323858
250,2836239
45.29,1086167
5000,3701635
66.78,1979526
4.8,684190
22308.37,1405380
2568.18,739761
10.45,4738850
7315,4890778
10.45,2464379
10.45,1105573
1722.66,3960257
1.2,4081035
18.89,688957
19.29,1296290
138.19,1867694
0.18,882557
4.8,3144149
5571.71,4244072
1213.87,1349536
10.45,2251889
1.2,255144
5000,1696971
88.35,1704473
1594.27,2908496
10.45,2976451
50000,4971738
229.05,3589336
5000,2775831
1.2,3139132
898.6,4265402
1.2,387684
594.27,2764127
3346.65,2960488
877.58,1942431
3.1,3608551
720,3809708
266,3920720
50,4711164
10.45,2132760
620,2740388
986.12,2453699
10.3,1734858
642.25,911280
105.8,893535
280,2518810
1832,1179131
5000,1041690
49,1670762
17.68,55302
19.25,4863250
0.04,2104127
1200,2460880
19.25,3543447
102.02,411357
1533.34,517268
752.85,2688901
540,3507980
52.35,2336597
2.6,630931
45.03,3889713
182,3827545
20,1937924
1.5,1168324
107,179704
344.52,3796174
4078,1813606
141.05,950265
444,2353942
600,3306262
500,3296544
92700,650007
11903.58,3049613
12.99,1555737
140,3265123
65.47,5932
500,3598292
1239.96,4983215
1.2,1572430
1400,4269128
57,4172611
2000,1821755
1.2,4138461
2594.27,4296496
1.2,3566763
10.45,3537333
7731.18,1739336
1.2,4602375
10.45,4266074
1941.92,3767716
4000,4145866
6230,4924707
2000,3778573
4.8,4210330
169.79,247062
200,2016975
4.8,854769
52,4352238
3,472923
23.5,398564
221.4,2486159
1.2,494921
0.3,2919314
140,369021
87.51,4691899
300,2668578
50,4360889
300,3716085
1.2,1815782
2383.04,2083402
2694.56,2806022
1.2,124291
5000,3272662
19.69,152018
3.1,411081
52,146363
1.2,303129
800,1406973
7,2051512
200,918281
267.97,4289971
300,4630926
10,1783036
4.8,3813243
116.18,2771269
500,1143329
2750,3354366
2000,2227119
1100,738397
19.69,1144238
84,3367994
2216,4411855
1.2,4862002
2387,2436150
10.45,4545795
2694.27,2696672
10.45,2506754
10.45,3220557
3500,1058954
8000,427883
400,4491812
1.2,4796249
15,4114085
60,880675
3,2708898
0.03,4434735
184.74,430413
3065.1,4206034
20,2574472
37.5,482923
2.8,2427006
4.8,4795282
250,3713883
1.2,1398313
8.5,313179
500,4759898
3000,4308878
50,194738
23.1,1564930
600,1507003
22,652784
223.95,1687310
1013.8,1400127
2.6,1677317
54.95,2437695
80.19,3751352
30,1887563
1.2,289959
1.2,1693788
300,4688331
700,2491688
3040.52,4929234
647.5,1398596
9.57,719982
1000,3778052
19.69,4767314
616,714840
71,4929165
12348,4693216
817,582230
54.95,3675128
2600,2424456
3500,609237
300,2259639
49.41,2069816
67.05,1123828
620,990297
1.2,1227913
10.45,1178379
2128,448063
305.42,3044064
40000,2662395
10.45,2822164
1645,236934
1.2,3725481
898.6,2679108
10.45,1877597
10.45,2697342
1420,1371148
1.2,2444645
1440,3572110
5850,2012977
56.95,3101377
11162,1732624
2150,1611827
1.2,3956521
3.1,3661583
700,4573051
118,905162
75,4518771
1500,4534571
1.5,2198750
967.73,1423283
350,560549
7500,3470135
7.75,3866403
54.95,3642082
10.45,1517690
2534.88,4991811
140,1898794
30,988792
1098.6,2448444
1536,3583994
3000,650776
20000,2776659
10.45,3361185
54.95,3762281
1400,1505887
100,1345118
84,1078318
27.8,4747281
0.31,1135804
1.2,845488
11,2002417
1.2,4970509
257.33,109916
10.4,1184104
100,4238207
4620,1202036
24.59,1206456
58.7,4155033
100,378509
241.25,806562
700,1242356
3.1,4429745
52,3527953
9.42,2327392
45,3042121
0.1,3275785
33.39,2396762
45,3790964
1832.73,2799346
86.13,3986208
1868.25,214147
10.45,3604031
10.45,3777870
2000,553829
10.45,3876657
10.45,378980
1.2,251769
10.45,463732
2000,15955
5000,629243
4.8,451721
50,1925944
1250,2026386
2.2,2177337
1620,3497459
52,1874540
3542,4384569
5750,1731704
63.46,477800
650,4163601
6522,2354891
323.08,2476179
30.44,3515866
1700,1054924
23809.25,4349319
2221.89,984363
2000,850454
47.47,993684
500,3882943
3977.3,3840093
0.08,3424053
10.45,2427860
350,4333470
100,3018300
49,152042
14,2829500
15.22,2881134
1500,3392069
480,3761957
200,2720151
3.1,3617719
42.5,3155458
3473,2135949
3,497328
1000,3641336
37.5,236046
10,2116553
3,3868545
2128.54,2498350
4.8,400209
50,2764103
78.76,3670546
224.41,238168
219.1,3133853
1650,3655395
42.5,2812767
4767.33,338601
50,656699
56.95,4194879
0.16,2521530
0.35,3038794
586,556111
0.09,1657498
1.2,338997
35,80527
5000,4075816
200,2128089
84,458943
120,4425608
68.73,3670432
0.5,55887
7268.75,4317418
2026.99,1673730
322.26,784810
1972.32,3714639
5000,4860975
1.2,2983153
4.8,3100489
1200,3052163
10.45,4374477
20638.94,1349477
8.42,3950428
5000,3580322
10.45,2553
10.45,1657938
2300,2252305
40.99,1753995
10.65,4195216
179.33,2761693
15,4555423
200,3846111
2000,3787335
717.42,103878
561.6,3718098
2.2,4792654
39.01,2020055
31.77,3910901
19.5,1503441
78.76,1331145
10.45,947207
1400,3704724
1155.6,2758567
73.23,1253102
750,3067750
1,2903315
11,286529
650,26668
4.8,960134
52,4992573
19.65,3574944
1099,1219753
3500,3186431
1000,4810462
69.05,857578
53.02,4313563
1.2,4998652
1.16,4218976
7.61,1874719
2.6,1225401
19.69,1815807
500,802768
141,3587508
475.75,936186
3500,3069055
120000,3029415
340701.53,522794
2500,3536802
10.45,2942114
1281.67,790623
1.2,3350476
24000,100069
1.2,1391938
165588.33,1236331
1.2,4789833
18575.05,1779588
594.27,4167013
10.45,3185227
10000,1866008
1442,2751743
19.69,4754545
54.95,176785
424.5,1329986
3.33,2291216
29.49,2485105
3500,4549639
52.35,601631
200,3154466
54.6,189828
1680,2807968
141,4935817
1000,1174432
297,3244975
19.69,3016945
290.88,1055896
19.69,1405995
140,4677048
99.82,3636776
6400,3158765
50,4715755
100,612229
2.6,4083510
1.2,4910445
10,264757
439.82,4794038
2.6,2919016
31.77,847047
39.38,1270784
489.6,970010
5300,4651710
210.65,556310
160,808263
882.53,1694336
66.29,4119437
88.06,946276
26.6,4845627
66.68,3343820
1000,1494567
50,1499063
67.6,4640549
1.75,2403745
120,3043224
4.8,2061660
723.18,1562893
913.25,94960
951.41,4008677
60,4640704
1316.29,4772828
188.79,3971812
1350,2821138
10.45,2707394
1.2,2018434
40.67,485166
1805.56,4874470
2000,1593424
1.2,2393317
34,814598
200,1053163
20,2180819
122.35,3227822
4.8,1244846
242.86,4301643
619.8,578964
71.86,4491949
10.45,1241994
7,1485458
1939,765376
4770,1809779
891.13,1525083
1.5,3593163
6.4,4488078
209.88,2471603
23,1860927
0.35,4474962
5300,405811
6592.97,1595797
1740.9,2648382
36,1066685
53.4,324202
2000,3108717
70,4188624
500,4040057
4.8,2613525
1.2,3210008
74.29,4502816
260.25,3714163
73.8,2901494
210,4828462
50,3495519
350,1439389
1094.27,651258
594.27,1899171
1.2,2288265
3000,2522130
1.2,1540675
1.2,3157079
1.2,1182475
3000,4963330
1.2,2260333
825,1935485
6000,3688348
6.4,2701091
54.95,2510709
500,4668211
110,4478024
120,2551315
23.95,3544843
7.61,4580368
16.44,3452499
1.2,3288643
131.04,1146310
65,1917386
620,2990003
2.6,3047445
280,1272879
22.25,3787312
1058.5,1012670
2.6,4377249
52,1358693
24.52,557562
10.6,1738833
300,3817270
102.11,4461695
7.15,1466263
50,753731
3000,2328125
9519.67,1337336
2.4,190791
39.38,1338730
1.2,3846400
720,330156
10,575258
5541.66,2147867
240,95818
15.5,2948846
59.07,4459842
719.96,4344116
486.76,2874083
1.2,2447903
1857,2453916
10.45,2216523
15000,2677964
5000,2002045
1.2,1770807
10.45,3816336
10.45,1543967
23.27,860367
8700,4134001
1.2,2359511
4176.18,4634710
1431,2488571
5000,2133387
7.8,3984136
500,2078997
15.5,3054407
109.9,1322829
0.17,4302707
371.85,538634
55,1046817
52.35,1636789
995.2,1413699
241.54,504485
429,3867375
672,4711861
1.2,1711287
69,1085021
21,4906493
1000,2029374
39.38,4762765
4989.55,3108837
37.5,3146197
50,3570722
4.8,2203101
45.19,2633026
10000,1933367
300,757993
23.99,2163126
833,1931397
3.1,716199
1499.55,4333771
5.2,3123546
47.49,2669936
10.45,309368
100000,4317302
1595.33,2361341
110,4284797
69.05,4747912
55,4606866
58.06,4545795
60,3387704
418,1211034
150,595593
10.45,1579041
3000,4511348
2000,3079652
132.81,4360271
594.27,4182616
4582.45,2861130
5613.79,3886225
10.45,3536812
511.23,3382020
10.45,4666258
7333.33,2317738
3000,4071761
5000,2735117
10.45,4835344
10.45,2536725
2238148.93,1150315
222.16,3553835
1000,1666114
612,4420132
73.2,1415498
1200,2488485
10.45,2053087
28.1,4553258
14,3346043
1.2,1085501
21,4639128
39.01,3041638
39.38,2333318
57.12,1301876
300,3115736
1.2,4108678
10,246830
50,4436174
603.06,4532246
15,2723156
30.44,994808
500,2317963
2.2,2618070
1500,1576320
60,1267283
140,4568269
390,4831836
15.5,1501504
10,212852
224.41,705457
4.8,1219200
2.6,3752492
1.2,1246313
24716.71,218010
10,2986894
3,993277
88,3925723
84,2601927
5.2,3977642
2.2,1669322
67.1,1666525
3602.25,3235998
4.8,2444487
50,4169745
96.97,1619215
1.2,2095423
380,3496929
10.45,2917345
250,3178802
276,569528
1.2,952042
10.45,3060638
2387,3589878
1.2,2287419
2508.5,205599
52.35,4640870
110,2903671
360,3814817
1,313657
60.25,4038555
19.25,2820271
35.79,2387141
100.25,3242663
180,4117713
6370,210861
29.2,311276
12.8,1091811
400,4791011
7.3,2897357
42.5,4072082
56,3190064
1000,4919232
1200,2292703
107.98,4555532
100,2430951
2534.88,3242347
0.02,4883073
483.71,4283148
100,256907
4.8,4681838
120,4037661
1440,1274372
3000,3002103
4.8,1619036
2000,531425
60,3200228
2853.08,2698058
1098.6,1614774
105902.97,1747139
1074.48,1318028
2000,2800188
2250,1037750
60,1784304
391,4862328
1233.47,698000
1.2,888164
1.2,2471181
3135,3635513
10.45,3208325
600,2722261
1405,3702566
35,4995338
4.8,959951
178.48,3261005
39.01,3796491
1680,2259608
31.77,1429672
14,4094051
19.25,1077290
603.15,4504213
225,4229349
39.38,3468013
58.7,2004825
10.45,1136545
1362,794132
41,4355804
69,2719930
400,793269
5.2,4590998
1007.02,357051
35,4681384
440,1930446
400,3447837
19.69,2887929
118,4371027
12,4630796
1375,58062
19.25,436573
114.95,1829187
100,1472526
2754.49,4022961
56,1453522
720,3762279
1.2,4987763
10.45,2374418
1244.27,260922
594.27,2181785
10.45,1642300
2.6,1729526
325000,2311864
1.2,1633141
2.31,4396705
2026.99,2918483
1500,116697
61.5,4421122
69.35,3789889
183.02,405223
5086.31,1724151
52,3634603
10.45,4300357
1.2,3217241
1000,2711027
52,106909
84,2612188
2473.68,3112119
21700,2796672
55.5,3720015
69,1632539
462.44,3117709
150,4627093
667,3512360
15,3942892
74.95,2417707
7,2950492
19.77,1000411
500,2423598
2.6,1700580
1.2,1002739
10.45,4602353
120,3681616
1.2,1618366
155.94,984472
390,96007
20.8,953082
1000,2413334
7,4378496
507,669727
59.07,4540473
1.2,3704721
9900,3197421
383,4629692
1.75,2157166
15.22,931831
3509.5,2543081
630,2938084
780,3836556
2690.61,677003
170.85,1578298
15000,2768330
2623.74,3398504
99096.89,3821656
6.72,4467338
1523.6,1885156
1.2,3047771
594.27,3353458
3066.8,3608426
10.45,4428560
594.27,1211856
1.2,142440
2.6,4524943
524.46,4807423
430.8,2454258
52,2373719
6.95,4061279
0.22,2910349
78.76,2886429
514.95,2926713
259.03,2761814
4000,1944640
52,2311090
89.75,1190481
1.2,4009501
4.8,1830235
28.53,1480384
280,4864294
4700,3419790
13.5,3445798
118,4844096
98.45,2458425
60,1160478
3.1,3501170
102.55,2216041
3,2035386
2.6,4397658
1.5,66514
1500,3029767
14,2071601
0.06,126674
652.87,714803
1500,669930
47.52,1201267
280,4735198
365.92,2446066
600,446105
86,1432895
1000,4978313
2494.27,1947985
10.45,3633971
1406,699791
10.45,3795957
1.2,1358654
605.06,3369800
150,875706
8.5,4975190
1.2,1848885
726.73,4777975
36.5,1474098
1.2,4536946
10.45,3387782
594.27,3012784
12035,2053929
10.45,1793738
219.98,3835202
2347,3625539
31.99,1249751
1.5,1721126
54.95,1697002
1000,3678103
9,3775893
92.89,804009
443.36,1013530
1100,200894
84,4854749
4.15,241873
52.35,3266128
141,4670955
50,4359986
49,2857319
50,3716555
30,1953357
35,3514386
54.95,492656
3.1,3617881
122.68,1547939
140,2066642
390,3204332
6250,1503958
1.2,584524
510.1,1317517
50,2182090
100,2253035
1056.44,4198608
278.81,3354151
6.2,917469
700,4415310
372,4520246
0.09,129501
148,1742516
1850,1113720
1895.34,4750366
91.98,2174334
200,391760
75,4398452
4.8,780263
2594.27,4431216
3560,2803122
100000,621334
226,354708
1419,1283177
213.65,2470829
1806,436338
2.6,844149
10.2,2826445
19.25,4136883
1.2,3860036
10.45,4806350
242.47,856596
1.2,3660394
99627,4687794
594.27,3758171
11.53,1888013
10,3798855
52.35,2776966
0.35,3822328
840,4481215
10.4,1616373
10,3825529
1500,1398607
52,822758
100,2248020
40,3075974
500,278203
3000,4291099
7.61,292091
52,3344825
92.16,3025030
1.5,1005147
1000,1756709
7,4399742
50,1215201
262.05,2527840
45,2597578
150,3536906
100,899828
385,3673237
226.05,304739
600,2895357
134.22,4089329
60,4688320
200,2317847
20704,3009175
221.25,322229
9.1,3211850
105,571123
51.53,1675187
7.61,1114514
1000,939841
3.1,4190841
280,2137163
898.6,2547080
12000,417987
10.45,4084515
1.2,622585
84,4988484
7.61,2509753
10.45,1461125
50,1469969
5.2,49095
437.66,4811208
1465.64,1417094
10.45,927270
338.12,943382
1.2,2031186
3000,929984
4.8,2359031
1.2,2027674
5.55,4010473
14.62,3431315
50,3099248
3.1,560429
2.2,2011768
43.85,1110755
21,2296656
7.61,4784456
1268.83,4176773
11.27,2741572
54.98,4798370
18.5,325169
4.8,1172569
250,1695861
1301.12,2473544
62.98,4522683
3129.92,4168559
520,900302
10.45,4946083
17.82,2497495
254.78,4761533
10.45,4765726
1500,1520072
1.2,3422534
223.61,4372211
196.39,3876753
21,55299
4.8,2895340
84,3771971
951.9,575389
5.2,480808
150,2210054
200,3409026
67.47,3713951
6.82,893081
53.51,4082370
3,175094
385,3156696
70,4850045
107.98,870573
29.27,1764510
2.6,259844
0.17,2394116
5700,4370456
6500,3600768
1.2,4131345
5000,1712407
580.64,4554321
1594.27,4584535
594.27,4065471
1711.82,3707768
84,451833
12008,4682968
10.45,1836175
898.6,4168435
1.2,3628633
1.2,4966976
2720.78,4724718
1000,768380
1950.94,3124743
503.29,3170775
1300,3585930
10.93,4059172
30,2843843
4.8,3867422
1.5,839579
11.5,2258183
1000,4737197
1.2,2660473
54.95,4731787
1.2,3485679
10.45,225965
500,3060729
365,312137
638.41,938185
99.64,195593
2500,2392609
1.2,4372274
1000,2082516
223.95,4541252
48.7,4531991
18,4991007
0.35,3078972
1119.26,2627859
55.5,1835980
1.5,3057161
2705.88,2270023
277.1,4072795
0.4,1022353
3566.03,2384356
50,3287014
800,714789
411.39,1687253
1.2,721403
550,1659625
100,2060452
175.17,3012505
4000,3063512
0.35,3561436
27000,4818662
350,4491032
1.2,2857159
2300.88,161694
1000,1819627
100,1590172
50000,2140639
2000,4866277
3750,4578545
6.56,4366510
